,Shape_type,Latitude,r_pl,l_pl,t_pl,V_pl,S_pl,V_T,Shape_factor,Density,time_length
62,sphere,13.7,8.38E-05,0.010782,0.00291596,2.46E-12,8.81E-08,2.46E-12,0.8,868,500
63,fiber,13.7,8.65E-05,0.00024,0.00197228,2.71E-12,1.36E-07,2.71E-12,0.695217058,888,500
64,sphere,13.7,7.69E-05,0.005092,8.40E-05,1.90E-12,7.43E-08,1.90E-12,0.9,882,500
65,film,13.7,3.94E-05,0.01018,0.00148451,2.56E-13,6.94E-08,2.56E-13,0.19845171,942,500
66,film,13.7,1.56E-05,0.005041,0.0002537,1.58E-14,7.23E-09,1.58E-14,0.298187254,916,500
67,film,13.7,2.89E-05,0.007822,0.00014459,1.01E-13,1.49E-08,1.01E-13,0.496102473,964,500
68,fiber,13.7,0.000139131,0.001607,0.0007297,1.13E-11,5.05E-07,1.13E-11,0.20101448,981,500
69,fiber,13.7,0.000164816,0.000588,0.00263167,1.88E-11,5.00E-07,1.88E-11,0.604978954,973,500
70,film,13.7,1.09E-05,0.004138,5.20E-05,5.42E-15,2.09E-09,5.42E-15,0.504695558,859,500
71,sphere,13.7,0.000106548,0.006482,0.00678696,5.07E-12,1.43E-07,5.07E-12,0.9,983,500
72,fiber,13.7,5.28E-05,0.000418,0.00732173,6.18E-13,6.29E-08,6.18E-13,0.302824639,951,500
73,film,13.7,4.40E-05,0.003502,3.19E-05,3.57E-13,3.43E-08,3.57E-13,0.50114587,912,500
74,fiber,13.7,0.000100968,0.000595,0.00216199,4.31E-12,2.09E-07,4.31E-12,0.404819585,966,500
75,fiber,13.7,1.88E-06,2.20E-05,0.00772156,2.80E-17,9.30E-11,2.80E-17,0.198479062,854,500
76,film,13.7,2.07E-05,0.00797,9.97E-05,3.74E-14,7.60E-09,3.74E-14,0.503580036,961,500
77,fiber,13.7,6.26E-05,0.000507,0.00978732,1.03E-12,8.91E-08,1.03E-12,0.295793744,862,500
78,film,13.7,3.58E-05,0.012163,4.52E-05,1.93E-13,1.90E-08,1.93E-13,0.600799784,961,500
79,film,13.7,6.22E-05,0.000762,4.42E-05,1.01E-12,6.92E-08,1.01E-12,0.496152073,951,500
80,fiber,13.7,3.52E-05,0.000212,0.00229074,1.82E-13,2.55E-08,1.82E-13,0.396346745,964,500
81,film,13.7,0.000421784,0.00308,0.0003053,3.14E-10,3.16E-06,3.14E-10,0.500703928,952,500
82,fiber,13.7,5.00E-05,0.000179,0.00095091,5.24E-13,4.60E-08,5.24E-13,0.603689442,862,500
83,fiber,13.7,0.000272187,0.00214,0.00646619,8.45E-11,1.67E-06,8.45E-11,0.304799885,884,500
84,film,13.7,7.15E-05,0.008063,0.00062309,1.53E-12,1.14E-07,1.53E-12,0.397039247,905,500
85,film,13.7,0.000104697,0.009622,0.00091514,4.81E-12,2.46E-07,4.81E-12,0.396538491,960,500
86,fiber,13.7,9.61E-06,5.80E-05,0.00671305,3.71E-15,1.90E-09,3.71E-15,0.395715151,953,500
87,sphere,13.7,2.46E-06,0.008802,0.00279536,6.25E-17,7.62E-11,6.25E-17,0.8,920,500
88,sphere,13.7,0.000147731,0.004657,0.00684063,1.35E-11,2.74E-07,1.35E-11,0.9,922,500
89,sphere,13.7,2.67E-05,0.011346,6.84E-05,8.00E-14,8.98E-09,8.00E-14,0.8,882,500
90,fiber,13.7,1.77E-05,0.000207,0.00544755,2.32E-14,8.22E-09,2.32E-14,0.198144625,949,500
91,fiber,13.7,1.51E-05,7.00E-05,0.00357297,1.46E-14,4.41E-09,1.46E-14,0.500480457,991,500
92,film,13.7,0.000202326,0.009852,9.77E-05,3.47E-11,9.17E-07,3.47E-11,0.396771017,995,500
93,fiber,13.7,6.34E-05,0.000503,0.00763144,1.07E-12,9.05E-08,1.07E-12,0.301734847,897,500
94,film,13.7,0.0001172,0.010257,0.00456224,6.74E-12,6.25E-07,6.74E-12,0.195370954,970,500
95,film,13.7,2.36E-05,0.008802,0.00088985,5.52E-14,2.50E-08,5.52E-14,0.198528424,900,500
96,sphere,13.7,9.16E-05,0.002286,0.00028205,3.22E-12,1.05E-07,3.22E-12,0.8,963,500
97,fiber,13.7,0.000128335,0.000588,0.00765743,8.85E-12,3.16E-07,8.85E-12,0.503988469,984,500
98,sphere,13.7,4.49E-05,0.008937,0.00783512,3.78E-13,2.53E-08,3.78E-13,0.8,852,500
99,film,13.7,5.93E-05,0.001562,0.00215072,8.76E-13,1.55E-07,8.76E-13,0.202380525,909,500
100,film,13.7,4.17E-05,0.008566,0.00158281,3.03E-13,7.80E-08,3.03E-13,0.197750636,878,500
101,fiber,13.7,0.000121756,0.00044,0.00736057,7.56E-12,2.73E-07,7.56E-12,0.599927009,867,500
102,film,13.7,2.25E-05,0.010933,0.00036041,4.80E-14,1.50E-08,4.80E-14,0.30084385,862,500
103,fiber,13.7,1.89E-05,0.000112,0.00605613,2.82E-14,7.31E-09,2.82E-14,0.402546805,932,500
104,sphere,13.7,4.52E-05,0.012254,0.00172574,3.88E-13,2.57E-08,3.88E-13,0.9,890,500
105,film,13.7,9.35E-05,0.009115,0.00012129,3.43E-12,1.29E-07,3.43E-12,0.60356012,867,500
106,fiber,13.7,0.000139162,0.001644,0.00208671,1.13E-11,5.10E-07,1.13E-11,0.195977178,898,500
107,fiber,13.7,1.22E-05,3.30E-05,0.0037068,7.55E-15,2.68E-09,7.55E-15,0.702146739,884,500
108,sphere,13.7,4.36E-05,0.004004,0.00231886,3.47E-13,2.39E-08,3.47E-13,0.9,990,500
109,sphere,13.7,2.13E-05,7.10E-05,0.00677449,4.03E-14,5.69E-09,4.03E-14,0.9,879,500
110,fiber,13.7,0.000230609,0.001387,0.0033726,5.14E-11,1.09E-06,5.14E-11,0.397174708,852,500
111,sphere,13.7,0.00013169,0.001571,0.00097827,9.57E-12,2.18E-07,9.57E-12,0.9,867,500
112,fiber,13.7,5.35E-05,0.000421,0.00294018,6.43E-13,6.44E-08,6.43E-13,0.304709372,858,500
113,sphere,13.7,7.76E-05,0.007787,0.00085362,1.96E-12,7.57E-08,1.96E-12,0.9,946,500
114,sphere,13.7,9.60E-05,0.006513,0.0081419,3.71E-12,1.16E-07,3.71E-12,0.8,950,500
115,fiber,13.7,2.86E-05,0.00017,0.0088904,9.76E-14,1.67E-08,9.76E-14,0.401053582,900,500
116,sphere,13.7,0.000122912,0.004006,0.00836993,7.78E-12,1.90E-07,7.78E-12,0.9,890,500
117,fiber,13.7,0.000148879,0.000409,0.00527402,1.38E-11,4.02E-07,1.38E-11,0.698154339,934,500
118,sphere,13.7,1.94E-05,0.004309,0.00959055,3.05E-14,4.72E-09,3.05E-14,0.9,896,500
119,fiber,13.7,3.75E-05,0.000175,0.00993943,2.21E-13,2.71E-08,2.21E-13,0.496302687,897,500
120,fiber,13.7,5.19E-05,0.000591,0.00136283,5.86E-13,7.00E-08,5.86E-13,0.204337014,900,500
121,fiber,13.7,4.72E-06,1.30E-05,0.00193345,4.40E-16,4.04E-10,4.40E-16,0.697304196,916,500
122,sphere,13.7,5.16E-06,0.011587,0.00327825,5.76E-16,3.35E-10,5.76E-16,0.8,864,500
123,fiber,13.7,0.000155946,0.000933,0.00727939,1.59E-11,5.00E-07,1.59E-11,0.399144552,977,500
124,fiber,13.7,0.000191858,0.001511,0.0010301,2.96E-11,8.28E-07,2.96E-11,0.304264282,907,500
125,film,13.7,0.0001315,0.004541,0.00507356,9.53E-12,7.83E-07,9.53E-12,0.19623,916,500
126,sphere,13.7,0.000137467,0.005007,0.00272587,1.09E-11,2.37E-07,1.09E-11,0.8,923,500
127,sphere,13.7,1.41E-05,0.002318,0.0061396,1.18E-14,2.51E-09,1.18E-14,0.9,950,500
128,fiber,13.7,8.17E-05,0.000484,0.00461327,2.29E-12,1.37E-07,2.29E-12,0.402890566,865,500
129,sphere,13.7,1.46E-05,0.000792,0.00436139,1.29E-14,2.66E-09,1.29E-14,0.9,895,500
130,sphere,13.7,1.63E-05,0.001122,0.00967202,1.80E-14,3.33E-09,1.80E-14,0.9,977,500
131,fiber,13.7,1.29E-05,4.70E-05,0.00969009,9.03E-15,3.08E-09,9.03E-15,0.597249007,951,500
132,sphere,13.7,3.94E-05,0.005542,0.00552578,2.56E-13,1.95E-08,2.56E-13,0.8,950,500
133,film,13.7,0.000123744,0.009708,8.77E-05,7.94E-12,2.74E-07,7.94E-12,0.495703541,866,500
134,fiber,13.7,1.67E-05,0.000194,0.00694713,1.94E-14,7.29E-09,1.94E-14,0.199469289,957,500
135,film,13.7,8.22E-05,0.009023,0.00040163,2.33E-12,1.20E-07,2.33E-12,0.500589918,897,500
136,film,13.7,1.95E-05,0.002622,0.00016756,3.13E-14,8.49E-09,3.13E-14,0.399864932,852,500
137,fiber,13.7,0.000123148,0.000576,0.00174204,7.82E-12,2.92E-07,7.82E-12,0.495613395,992,500
138,sphere,13.7,4.38E-05,0.004023,0.00175225,3.51E-13,2.41E-08,3.51E-13,0.8,921,500
139,film,13.7,7.26E-05,0.004242,0.00272054,1.60E-12,2.35E-07,1.60E-12,0.19905964,948,500
140,film,13.7,9.85E-05,0.011836,0.00023672,4.01E-12,1.43E-07,4.01E-12,0.603126635,984,500
141,sphere,13.7,0.000158172,0.010822,0.0082519,1.66E-11,3.14E-07,1.66E-11,0.8,974,500
142,film,13.7,1.42E-05,0.00655,3.63E-05,1.21E-14,3.01E-09,1.21E-14,0.597633157,878,500
143,film,13.7,0.000152833,0.005658,0.00567499,1.50E-11,1.04E-06,1.50E-11,0.199968017,916,500
144,film,13.7,6.83E-05,0.012952,0.00112075,1.33E-12,1.39E-07,1.33E-12,0.297135467,917,500
145,film,13.7,0.00015546,0.008882,0.00077484,1.57E-11,4.32E-07,1.57E-11,0.49701572,925,500
146,fiber,13.7,9.71E-05,0.000453,0.00214089,3.83E-12,1.82E-07,3.83E-12,0.496536329,964,500
147,film,13.7,5.15E-05,0.002291,0.00012182,5.71E-13,3.89E-08,5.71E-13,0.604415855,946,500
148,film,13.7,3.76E-05,0.005116,4.74E-05,2.23E-13,2.09E-08,2.23E-13,0.600800862,898,500
149,fiber,13.7,0.000138265,6.10E-05,0.00869539,1.11E-11,8.18E-07,1.11E-11,0.295730032,862,500
150,sphere,13.7,0.000166165,0.00232,0.00723914,1.92E-11,3.47E-07,1.92E-11,0.8,998,500
151,sphere,13.7,0.000319711,0.011175,0.00620449,1.37E-10,1.28E-06,1.37E-10,0.8,976,500
152,sphere,13.7,4.99E-05,0.007909,0.00945201,5.20E-13,3.13E-08,5.20E-13,0.8,939,500
153,fiber,13.7,0.000129811,0.000599,0.00181175,9.16E-12,3.24E-07,9.16E-12,0.501103409,932,500
154,fiber,13.7,1.17E-05,4.20E-05,0.00564781,6.65E-15,2.51E-09,6.65E-15,0.601311817,969,500
155,fiber,13.7,3.79E-05,0.000298,0.00775826,2.28E-13,3.23E-08,2.28E-13,0.304843562,943,500
156,fiber,13.7,9.91E-05,0.000457,0.00205741,4.07E-12,1.89E-07,4.07E-12,0.501238723,856,500
157,sphere,13.7,7.62E-05,0.006789,0.0017731,1.85E-12,7.30E-08,1.85E-12,0.8,859,500
158,fiber,13.7,6.03E-05,0.00022,0.00704359,9.21E-13,6.72E-08,9.21E-13,0.5964741,971,500
159,sphere,13.7,0.000214621,0.009243,8.28E-05,4.14E-11,5.79E-07,4.14E-11,0.8,995,500
160,sphere,13.7,5.24E-05,0.011318,0.00643629,6.02E-13,3.45E-08,6.02E-13,0.9,916,500
161,fiber,13.7,1.38E-06,1.10E-05,0.00982673,1.10E-17,4.31E-11,1.10E-17,0.300818776,974,500
162,sphere,13.7,6.74E-05,0.008867,0.00359913,1.28E-12,5.71E-08,1.28E-12,0.8,988,500
163,sphere,13.7,0.000118948,0.007733,0.00687853,7.05E-12,1.78E-07,7.05E-12,0.9,898,500
164,fiber,13.7,0.000115428,0.000681,0.00778687,6.44E-12,2.73E-07,6.44E-12,0.40438473,952,500
165,film,13.7,1.21E-05,0.007071,0.00010419,7.47E-15,3.27E-09,7.47E-15,0.399536786,850,500
166,fiber,13.7,3.45E-05,9.30E-05,0.00096075,1.72E-13,2.16E-08,1.72E-13,0.703779833,902,500
167,fiber,13.7,0.000253524,0.00117,0.00015051,6.83E-11,1.24E-06,6.83E-11,0.501055689,934,500
168,fiber,13.7,8.17E-05,0.00066,0.00012213,2.28E-12,1.51E-07,2.28E-12,0.29625551,993,500
169,sphere,13.7,2.33E-05,0.004306,0.00564285,5.33E-14,6.85E-09,5.33E-14,0.8,926,500
170,sphere,13.7,0.000159466,0.012932,0.00651456,1.70E-11,3.20E-07,1.70E-11,0.9,970,500
171,fiber,13.7,4.73E-05,0.00028,0.00217121,4.43E-13,4.58E-08,4.43E-13,0.403126999,879,500
172,fiber,13.7,0.0001928,0.000703,0.00346011,3.00E-11,6.86E-07,3.00E-11,0.596394204,956,500
173,fiber,13.7,7.16E-05,0.000848,0.00200093,1.54E-12,1.35E-07,1.54E-12,0.195435224,932,500
174,film,13.7,0.000145086,0.000291,0.00550837,1.28E-11,9.46E-07,1.28E-11,0.197791676,936,500
175,fiber,13.7,0.000370625,0.002216,0.0011858,2.13E-10,2.82E-06,2.13E-10,0.399378049,873,500
176,sphere,13.7,8.88E-05,0.000821,0.00733796,2.93E-12,9.90E-08,2.93E-12,0.9,980,500
177,fiber,13.7,9.58E-05,0.000444,0.00047967,3.68E-12,1.76E-07,3.68E-12,0.499130868,968,500
178,fiber,13.7,0.000184053,0.000668,0.00743448,2.61E-11,6.25E-07,2.61E-11,0.598226511,981,500
179,film,13.7,1.39E-05,0.010873,0.00053296,1.13E-14,8.75E-09,1.13E-14,0.19706916,992,500
180,film,13.7,0.000125198,0.006294,0.0006179,8.22E-12,2.79E-07,8.22E-12,0.498768368,873,500
181,fiber,13.7,0.000112449,9.90E-05,0.00760098,5.96E-12,3.27E-07,5.96E-12,0.60108356,936,500
182,film,13.7,0.000112536,0.007666,0.00181347,5.97E-12,3.75E-07,5.97E-12,0.299745788,865,500
183,sphere,13.7,7.56E-06,0.008749,0.00818641,1.81E-15,7.17E-10,1.81E-15,0.8,922,500
184,sphere,13.7,0.000257649,0.012387,0.00952078,7.16E-11,8.34E-07,7.16E-11,0.9,926,500
185,sphere,13.7,0.000358341,0.007415,0.00570957,1.93E-10,1.61E-06,1.93E-10,0.8,970,500
186,fiber,13.7,5.33E-05,0.000194,0.00481337,6.35E-13,5.24E-08,6.35E-13,0.597180186,865,500
187,sphere,13.7,0.00038898,0.008236,0.00013675,2.47E-10,1.90E-06,2.47E-10,0.9,872,500
188,film,13.7,0.000258933,0.001983,0.00031654,7.27E-11,9.97E-07,7.27E-11,0.597374097,991,500
189,film,13.7,3.00E-05,0.000416,0.00025333,1.13E-13,1.99E-08,1.13E-13,0.402641826,974,500
190,film,13.7,6.81E-05,0.009555,0.00059002,1.32E-12,1.03E-07,1.32E-12,0.39802022,915,500
191,film,13.7,4.87E-05,0.00252,0.00011718,4.84E-13,3.50E-08,4.84E-13,0.603028782,977,500
192,film,13.7,2.63E-05,0.008367,1.93E-05,7.61E-14,1.22E-08,7.61E-14,0.504351367,926,500
193,film,13.7,1.12E-05,0.00109,5.54E-06,5.85E-15,2.75E-09,5.85E-15,0.403671834,968,500
194,fiber,13.7,4.31E-05,0.000116,0.00960911,3.36E-13,3.37E-08,3.36E-13,0.704524834,948,500
195,film,13.7,6.20E-05,0.011981,0.00100668,9.98E-13,1.14E-07,9.98E-13,0.298662574,954,500
196,sphere,13.7,4.82E-05,0.009842,0.00874645,4.70E-13,2.92E-08,4.70E-13,0.9,880,500
197,sphere,13.7,0.000195291,0.009659,0.00761101,3.12E-11,4.79E-07,3.12E-11,0.9,937,500
198,film,13.7,0.000124445,0.005486,0.00456766,8.07E-12,6.84E-07,8.07E-12,0.20111193,963,500
199,sphere,13.7,2.40E-05,0.00514,0.00792881,5.76E-14,7.22E-09,5.76E-14,0.8,898,500
200,film,13.7,0.00014966,0.011539,0.00074634,1.40E-11,4.01E-07,1.40E-11,0.496917817,974,500
201,fiber,13.7,8.04E-05,9.20E-05,0.00062633,2.17E-12,1.45E-07,2.17E-12,0.702865466,945,500
202,sphere,13.7,0.000101577,0.000617,0.00327839,4.39E-12,1.30E-07,4.39E-12,0.9,851,500
203,film,13.7,1.05E-06,0.005968,1.65E-05,4.91E-18,3.25E-11,4.91E-18,0.304205763,987,500
204,film,13.7,1.17E-05,0.00036,2.97E-05,6.73E-15,2.04E-09,6.73E-15,0.598241087,871,500
205,fiber,13.7,2.44E-05,0.000145,0.00373913,6.05E-14,1.22E-08,6.05E-14,0.401023805,870,500
206,sphere,13.7,1.36E-05,0.010753,0.00455283,1.05E-14,2.32E-09,1.05E-14,0.8,939,500
207,film,13.7,4.36E-05,0.010351,0.00068224,3.48E-13,5.56E-08,3.48E-13,0.303991466,890,500
208,fiber,13.7,6.63E-05,0.000393,0.00951695,1.22E-12,9.01E-08,1.22E-12,0.40262774,986,500
209,fiber,13.7,1.96E-05,0.000158,0.0093812,3.13E-14,8.68E-09,3.13E-14,0.296323699,864,500
210,fiber,13.7,0.000111265,0.001317,0.00876866,5.77E-12,3.27E-07,5.77E-12,0.195547561,871,500
211,sphere,13.7,0.000103608,0.00549,0.00552294,4.66E-12,1.35E-07,4.66E-12,0.8,893,500
212,film,13.7,2.02E-05,0.004783,0.00017286,3.46E-14,9.07E-09,3.46E-14,0.400295667,913,500
213,fiber,13.7,8.14E-06,6.50E-05,0.00498684,2.26E-15,1.50E-09,2.26E-15,0.299996614,911,500
214,sphere,13.7,0.00013473,0.005476,0.00222944,1.02E-11,2.28E-07,1.02E-11,0.8,898,500
215,film,13.7,0.000840159,0.002634,0.00016833,2.48E-09,3.18E-05,2.48E-09,0.197193366,995,500
216,film,13.7,1.53E-05,0.000719,3.93E-05,1.50E-14,3.48E-09,1.50E-14,0.59662435,868,500
217,sphere,13.7,8.44E-05,0.004099,0.00302243,2.52E-12,8.95E-08,2.52E-12,0.9,976,500
218,film,13.7,6.70E-05,0.004562,0.00253102,1.26E-12,2.01E-07,1.26E-12,0.198313386,900,500
219,film,13.7,7.84E-06,0.005082,0.0001284,2.02E-15,1.84E-09,2.02E-15,0.297447632,960,500
220,film,13.7,1.60E-05,0.010011,0.00060344,1.71E-14,1.14E-08,1.71E-14,0.198324887,934,500
221,fiber,13.7,0.000140003,0.000383,0.00961818,1.15E-11,3.55E-07,1.15E-11,0.699448666,938,500
222,sphere,13.7,0.000101199,0.011836,0.00140799,4.34E-12,1.29E-07,4.34E-12,0.8,979,500
223,sphere,13.7,1.02E-05,0.000324,0.00124995,4.50E-15,1.32E-09,4.50E-15,0.9,934,500
224,sphere,13.7,2.49E-05,0.009223,0.00144883,6.47E-14,7.80E-09,6.47E-14,0.9,857,500
225,sphere,13.7,4.25E-05,0.006652,0.00844963,3.22E-13,2.27E-08,3.22E-13,0.9,912,500
226,sphere,13.7,0.000323614,0.006757,0.00854119,1.42E-10,1.32E-06,1.42E-10,0.9,933,500
227,fiber,13.7,6.40E-05,0.000293,0.00339151,1.10E-12,7.85E-08,1.10E-12,0.504229846,887,500
228,fiber,13.7,0.000147571,0.000534,0.0075548,1.35E-11,4.01E-07,1.35E-11,0.599401153,961,500
229,film,13.7,1.15E-05,0.006127,9.84E-05,6.35E-15,2.93E-09,6.35E-15,0.400059964,994,500
230,fiber,13.7,7.26E-05,0.000338,0.00815745,1.60E-12,1.01E-07,1.60E-12,0.497411076,890,500
231,film,13.7,1.47E-05,0.010795,3.63E-05,1.33E-14,3.19E-09,1.33E-14,0.60066402,895,500
232,fiber,13.7,1.63E-05,5.80E-05,0.00857072,1.80E-14,4.86E-09,1.80E-14,0.604929511,973,500
233,film,13.7,4.28E-05,0.001678,0.00010265,3.27E-13,2.69E-08,3.27E-13,0.603185959,877,500
234,film,13.7,1.19E-05,0.010972,0.00042979,7.12E-15,6.24E-09,7.12E-15,0.203015456,916,500
235,film,13.7,0.000129372,0.004683,0.00504715,9.07E-12,7.62E-07,9.07E-12,0.195159585,882,500
236,fiber,13.7,7.75E-05,0.000356,0.00594904,1.95E-12,1.15E-07,1.95E-12,0.502682139,919,500
237,sphere,13.7,0.000294779,0.000183,0.00328311,1.07E-10,1.09E-06,1.07E-10,0.9,921,500
238,fiber,13.7,0.000242992,0.001927,0.00896555,6.01E-11,1.33E-06,6.01E-11,0.302093917,886,500
239,film,13.7,3.23E-05,0.011037,0.00015609,1.41E-13,1.85E-08,1.41E-13,0.502642004,994,500
